DeltaS, gs_value[GS_RIGHT], gs_value[GS_LEFT],lfm_speed[LEFT],lfm_speed[RIGHT]
0, 842, 842, 200, 200
-1, 841, 842, 200, 199
3, 845, 842, 198, 201
0, 843, 843, 200, 200
0, 843, 843, 200, 200
0, 844, 844, 200, 200
0, 843, 843, 200, 200
-4, 842, 846, 201, 198
-2, 841, 843, 200, 199
0, 844, 844, 200, 200
1, 846, 845, 199, 200
4, 844, 840, 198, 201
0, 842, 842, 200, 200
-108, 737, 845, 243, 156
-109, 737, 846, 243, 156
-117, 727, 844, 246, 153
-112, 731, 843, 244, 155
-544, 299, 843, 417, -17
-523, 325, 848, 409, -9
-529, 319, 848, 411, -11
-532, 314, 846, 412, -12
-540, 307, 847, 416, -16
-541, 301, 842, 416, -16
1, 301, 300, 199, 200
-3, 298, 301, 201, 198
3, 300, 297, 198, 201
-2, 297, 299, 200, 199
-1, 299, 300, 200, 199
-1, 299, 300, 200, 199
-1, 298, 299, 200, 199
54, 360, 306, 178, 221
-484, 359, 843, 393, 6
-489, 356, 845, 395, 4
-525, 300, 825, 410, -10
-531, 297, 828, 412, -12
-534, 300, 834, 413, -13
-537, 302, 839, 414, -14
-543, 300, 843, 417, -17
-526, 321, 847, 410, -10
-531, 316, 847, 412, -12
-537, 311, 848, 414, -14
-540, 307, 847, 416, -16
-541, 307, 848, 416, -16
-545, 303, 848, 418, -18
-542, 304, 846, 416, -16
-545, 302, 847, 418, -18
-544, 301, 845, 417, -17
-547, 299, 846, 418, -18
-542, 300, 842, 416, -16
-547, 298, 845, 418, -18
-542, 302, 844, 416, -16
-544, 297, 841, 417, -17
-549, 299, 848, 419, -19
-546, 299, 845, 418, -18
-545, 298, 843, 418, -18
-548, 299, 847, 419, -19
-543, 299, 842, 417, -17
-542, 301, 843, 416, -16
-544, 299, 843, 417, -17
-547, 299, 846, 418, -18
-546, 301, 847, 418, -18
-544, 301, 845, 417, -17
-543, 298, 841, 417, -17
-544, 299, 843, 417, -17
1, 845, 844, 199, 200
-541, 300, 841, 416, -16
-3, 842, 845, 201, 198
